Neighborhood,incidents,total population,incident rate
Chateau,41,6.0,6.833333333333333
South Shore,23,26.0,0.8846153846153846
North Shore,65,271.7532770731,0.2391875479849886
Allegheny West,43,439.0,0.0979498861047836
Strip District,66,841.0,0.07847800237812129
Homewood South,193,2596.0687426160002,0.07434317775634794
Beltzhoover,130,2045.072878555,0.0635674167718927
Larimer,124,1963.952008819,0.06313799901585476
West End,23,373.0,0.06166219839142091
Central Business District,274,4518.026200123,0.06064595198508157
Homewood West,62,1079.139695383,0.0574531733613927
East Allegheny,134,2379.401125174,0.056316691869346285
Esplen,22,427.0,0.05152224824355972
Middle Hill,105,2047.125408141,0.051291435093539665
Hazelwood,249,4923.937028512,0.05056929009411948
Homewood North,184,3841.499734325,0.0478979598399819
East Hills,156,3294.754518049,0.04734798879413205
Hays,24,514.0,0.04669260700389105
California-Kirkbride,41,939.0,0.043663471778487756
Crawford-Roberts,109,2554.528450972,0.04266932316158993
Perry South,165,3877.242110002,0.04255602186264166
Allentown,127,3007.773276218,0.0422239272501586
Central Northside,131,3237.741232716,0.04046030568357367
Allegheny Center,62,1607.0,0.038581207218419414
South Side Flats,270,7039.59213479,0.038354494810238664
Spring Hill-City View,108,2879.935136548,0.037500844595219913
Knoxville,186,5097.565131014,0.03648800853339978
Manchester,80,2201.099202644,0.03634547679809368
Lincoln-Lemington-Belmar,197,5426.055198463,0.03630630223883509
St. Clair,13,366.0,0.03551912568306011
Northview Heights,64,1844.0,0.03470715835140998
East Liberty,208,6149.871112062,0.03382184702896308
Terrace Village,86,2556.463608083,0.03364022070491678
Arlington Heights,13,398.0,0.032663316582914576
Troy Hill,84,2606.167139419,0.032231240556093554
Fineview,49,1555.217460896,0.03150684790522469
West Oakland,62,2002.001754381,0.030969003830453593
Bedford Dwellings,45,1529.0,0.029431000654022238
Ridgemont,12,423.0,0.028368794326241134
South Oakland,96,3434.468596898,0.02795192248568144
Sheraden,172,6424.850862185,0.02677104942814272
Perry North,111,4169.571198156,0.026621442523655656
Carrick,290,10948.666196236,0.026487244638045318
Polish Hill,39,1505.315805365,0.025908184754988017
Garfield,112,4363.273205741,0.025668802919018546
Point Breeze North,50,1993.024903026,0.025087493851223455
Elliott,71,2896.687071522,0.024510759445857098
Spring Garden,24,991.558569537,0.02420431907638759
Mount Washington,225,9356.158217756,0.024048332099920865
Chartiers City,17,732.0,0.023224043715846996
Arlington,51,2200.1881675180002,0.023179835594485696
Bluff,144,6689.761291689,0.021525431733849437
Glen Hazel,20,947.0,0.021119324181626188
Marshall-Shadeland,145,6932.094295189,0.02091719959733275
South Side Slopes,103,5099.263498613,0.020198995409438248
Bon Air,22,1091.0,0.02016498625114574
Upper Hill,46,2292.074748055,0.020069153520858998
Lower Lawrenceville,58,2961.97948664,0.019581499555148454
New Homestead,21,1078.0,0.01948051948051948
Bloomfield,177,9160.348145412,0.01932240971525206
Crafton Heights,84,4348.981817753,0.019314865759406764
Brighton Heights,154,7981.572921216,0.0192944425265663
Fairywood,26,1419.0,0.018322762508809022
Beechview,148,8797.658252228,0.016822658457154676
Lincoln Place,67,3983.2427077410002,0.016820466367714115
Summer Hill,21,1283.0,0.01636788776305534
Mt. Oliver,12,736.0,0.016304347826086956
Upper Lawrenceville,52,3189.70861823,0.016302429539427742
Friendship,32,2108.016790519,0.015180144742642919
Squirrel Hill South,256,16931.712313054,0.01511955762457819
East Carnegie,11,730.0,0.015068493150684932
Central Lawrenceville,77,5158.429263359,0.014927024500838094
Central Oakland,94,6481.416408653,0.01450300275021761
Overbrook,58,4029.909470983,0.014392382860613562
Greenfield,118,8389.464795397,0.01406525956992422
Duquesne Heights,40,2872.750623663,0.013923937452321084
Brookline,196,14103.065215136001,0.013897687985562499
Banksville,59,4439.107563192,0.013290959761645255
Shadyside,189,14423.984918663,0.013103175097989422
North Oakland,130,10230.11304715,0.012707581959342728
Point Breeze,70,5747.9550868,0.01217824407862073
Windgap,23,1901.828764509,0.012093622953451316
Stanton Heights,58,5179.092095117,0.011198874037147187
Squirrel Hill North,135,12103.783172516,0.011153537540770215
Swisshelm Park,16,1451.0,0.011026878015161957
Oakwood,13,1205.0,0.010788381742738589
Highland Park,78,7680.084478657,0.010156138284254875
Morningside,32,3640.788859392,0.00878930397665079
Regent Square,9,1134.0,0.007936507936507936
Westwood,28,3944.982842777,0.007097622756779825
Mount Oliver Borough,6,3861.9611214779998,0.0015536148115607537
